age,monthly_spend,tenure_months,plan,region
22,38,15.5,Basic,North
25,42,15.5,Basic,South
28,46,15.5,Standard,East
31,52,15.5,Standard,West
34,58,15.5,Premium,North
37,61,15.5,Basic,South
40,67,15.5,Standard,East
43,73,15.5,Premium,West
24,41,15.5,Basic,North
27,45,15.5,Basic,South
30,50,15.5,Standard,East
33,56,15.5,Standard,West
36,60,15.5,Premium,North
39,65,15.5,Basic,South
42,70,15.5,Standard,East
45,76,15.5,Premium,West
23,39,15.5,Basic,North
26,44,15.5,Basic,South
29,48,15.5,Standard,East
32,54,15.5,Standard,West
35,59,15.5,Premium,North
38,63,15.5,Basic,South
41,68,15.5,Standard,East
44,74,15.5,Premium,West
21,37,15.5,Basic,North
28,47,15.5,Basic,South
31,51,15.5,Standard,East
34,57,15.5,Standard,West
37,62,15.5,Premium,North
40,66,15.5,Basic,South
43,71,15.5,Standard,East
46,77,15.5,Premium,West
25,43,15.5,Basic,North
29,49,15.5,Basic,South
32,53,15.5,Standard,East
35,58,15.5,Standard,West
38,64,15.5,Premium,North
41,69,15.5,Basic,South
44,75,15.5,Standard,East
47,79,15.5,Premium,West
