age,monthly_spend,tenure_months,plan,region
22,38,3,Basic,North
25,42,6,Basic,South
28,46,9,Standard,East
31,52,12,Standard,West
34,58,15,Premium,North
37,61,18,Basic,South
40,67,21,Standard,East
43,73,24,Premium,West
24,41,5,Basic,North
27,45,8,Basic,South
30,50,11,Standard,East
33,56,14,Standard,West
36,60,17,Premium,North
39,65,20,Basic,South
42,70,23,Standard,East
45,76,26,Premium,West
23,39,4,Basic,North
26,44,7,Basic,South
29,48,10,Standard,East
32,54,13,Standard,West
35,59,16,Premium,North
38,63,19,Basic,South
41,68,22,Standard,East
44,74,25,Premium,West
21,37,2,Basic,North
28,47,9,Basic,South
31,51,12,Standard,East
34,57,15,Standard,West
37,62,18,Premium,North
40,66,21,Basic,South
43,71,24,Standard,East
46,77,27,Premium,West
25,43,6,Basic,North
29,49,10,Basic,South
32,53,13,Standard,East
35,58,16,Standard,West
38,64,19,Premium,North
41,69,22,Basic,South
44,75,25,Standard,East
47,79,28,Premium,West
